number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10		2020-07-24 16:36:09.104270	2020-07-24 16:36:59.593049	0.645363529661977	24.24972862129202	64	6	0.05695920608667333	128														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 24.73 GiB already allocated; 4.09 GiB free; 26.70 GiB reserved in total by PyTorch)									10	Setting status of trial#10 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
11		2020-07-24 16:36:59.593067	2020-07-24 16:37:32.005189	0.5398215809806532	8.03046580065169	64	10	0.08272181622237672	256														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 25.23 GiB already allocated; 4.09 GiB free; 26.70 GiB reserved in total by PyTorch)									11	Setting status of trial#11 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
12		2020-07-24 16:37:32.005206	2020-07-24 16:38:22.284216	0.10495401703568455	19.940578897544682	64	6	0.0026305229437310765	128														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 25.73 GiB already allocated; 2.92 GiB free; 27.88 GiB reserved in total by PyTorch)									12	Setting status of trial#12 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
13		2020-07-24 16:38:22.284234	2020-07-24 16:38:54.392615	0.7842461505491977	3.9853882044333018	64	4	0.027403028163135206	256														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 26.23 GiB already allocated; 2.92 GiB free; 27.88 GiB reserved in total by PyTorch)									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14		2020-07-24 16:38:54.392632	2020-07-24 16:39:13.563211	0.7582217929364796	23.89473334034564	64	4	0.007217028801079861	512														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 26.74 GiB already allocated; 1.74 GiB free; 29.05 GiB reserved in total by PyTorch)									14	Setting status of trial#14 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
15		2020-07-24 16:39:13.563228	2020-07-24 16:39:46.121203	0.20889797037657049	16.116383657435904	64	10	0.09285350955363372	256														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 27.24 GiB already allocated; 1.74 GiB free; 29.05 GiB reserved in total by PyTorch)									15	Setting status of trial#15 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
16		2020-07-24 16:39:46.121222	2020-07-24 16:40:36.410077	0.5661677722094609	6.18264447322978	64	2	0.09288730483629143	128														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 27.74 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									16	Setting status of trial#16 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
17		2020-07-24 16:40:36.410094	2020-07-24 16:41:08.896618	0.19126796192173356	14.084515784093425	64	10	0.03350552865679289	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									17	Setting status of trial#17 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
18		2020-07-24 16:41:08.896635	2020-07-24 16:41:26.621209	0.6291972979838892	19.469805962793725	128	1	0.00473185238367263	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									18	Setting status of trial#18 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
19		2020-07-24 16:41:26.621229	2020-07-24 16:42:18.475297	0.14608224842243556	3.2942372503249024	128	5	0.06701477492953314	128														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									19	Setting status of trial#19 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
20		2020-07-24 16:42:18.475315	2020-07-24 16:42:38.290589	0.3951480283688391	14.850057385595417	128	4	0.0034505448219482077	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									20	Setting status of trial#20 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
21		2020-07-24 16:42:38.290609	2020-07-24 16:42:57.969105	0.365944822228375	23.226054814370002	128	3	0.02022911657820186	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									21	Setting status of trial#21 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
22		2020-07-24 16:42:57.969121	2020-07-24 16:43:17.224453	0.5815809544827294	24.41593859057792	64	3	0.09128401213382001	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									22	Setting status of trial#22 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
23		2020-07-24 16:43:17.224469	2020-07-24 16:43:34.584803	0.6616237712968156	28.502007140346695	64	1	0.05349045422718156	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									23	Setting status of trial#23 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
24		2020-07-24 16:43:34.584819	2020-07-24 16:44:03.576570	0.32943780277425816	15.904404715802427	128	3	0.06054539254399386	256														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									24	Setting status of trial#24 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
25		2020-07-24 16:44:03.576589	2020-07-24 16:44:23.386006	0.29923019833107933	9.554669193693481	128	6	0.02476520104843623	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									25	Setting status of trial#25 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
26		2020-07-24 16:44:23.386024	2020-07-24 16:44:51.639844	0.9730209387343335	10.528290145225146	64	1	0.023337519457875638	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									26	Setting status of trial#26 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
27		2020-07-24 16:44:51.639861	2020-07-24 16:45:19.913002	0.30808078812000184	24.282468391413133	64	1	0.09602119867722304	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									27	Setting status of trial#27 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
28		2020-07-24 16:45:19.913022	2020-07-24 16:45:48.903329	0.5181433614504523	21.688651711162585	128	3	0.011167261246669918	256														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									28	Setting status of trial#28 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
29		2020-07-24 16:45:48.903346	2020-07-24 16:46:40.285469	0.5448592132633262	3.6301133377602905	128	4	0.012282131341531353	128														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									29	Setting status of trial#29 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
30		2020-07-24 16:46:40.285489	2020-07-24 16:47:30.794603	0.6543472439685839	22.09272088709154	64	5	0.09730100300776427	128														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									30	Setting status of trial#30 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
31		2020-07-24 16:47:30.794621	2020-07-24 16:48:03.468474	0.9099148081830758	8.030869486421695	64	10	0.06470384102829221	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									31	Setting status of trial#31 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
32		2020-07-24 16:48:03.468495	2020-07-24 16:48:32.461875	0.8697161538528808	13.687344434373788	128	2	0.016696219576377777	256														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									32	Setting status of trial#32 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
33		2020-07-24 16:48:32.461894	2020-07-24 16:49:22.524421	0.9793113523200317	11.585850911934003	64	1	0.024233842267505062	128														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									33	Setting status of trial#33 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
34		2020-07-24 16:49:22.524441	2020-07-24 16:49:42.237213	0.6798355380447583	6.990264854369111	64	6	0.04622353796432565	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									34	Setting status of trial#34 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
35		2020-07-24 16:49:42.237230	2020-07-24 16:50:00.042451	0.9276232112552601	7.531431784240426	128	1	0.05513217528727707	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									35	Setting status of trial#35 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
36		2020-07-24 16:50:00.042468	2020-07-24 16:50:51.399960	0.32696737623678634	12.534615476313064	128	6	0.02783123961528157	128														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									36	Setting status of trial#36 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
37		2020-07-24 16:50:51.399981	2020-07-24 16:51:11.185432	0.2786251726733958	19.89445977437173	128	4	0.0647550997852992	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									37	Setting status of trial#37 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
38		2020-07-24 16:51:11.185450	2020-07-24 16:51:39.355065	0.5851924865626252	8.905099793811278	64	1	0.07340708840163752	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									38	Setting status of trial#38 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
39		2020-07-24 16:51:39.355082	2020-07-24 16:52:11.978613	0.8754137012956794	17.4656639993237	128	4	0.05855758513141973	256														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									39	Setting status of trial#39 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
40		2020-07-24 16:52:11.978633	2020-07-24 16:52:40.190251	0.15185512780531152	24.77630407435139	64	1	0.08471060473290007	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									40	Setting status of trial#40 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
41		2020-07-24 16:52:40.190269	2020-07-24 16:52:59.693908	0.6697893223056122	7.670247214069274	64	6	0.01071068237798161	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									41	Setting status of trial#41 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
42		2020-07-24 16:52:59.693925	2020-07-24 16:53:57.297796	0.6365894806270411	24.236278901356975	64	8	0.03953626151169073	128														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									42	Setting status of trial#42 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
43		2020-07-24 16:53:57.297815	2020-07-24 16:54:14.699481	0.7023158534557383	24.50168385668508	64	1	0.0395173093415744	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									43	Setting status of trial#43 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
44		2020-07-24 16:54:14.699498	2020-07-24 16:54:47.515025	0.5792155491504408	21.194860933191325	128	9	0.017200708661013593	256														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									44	Setting status of trial#44 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
45		2020-07-24 16:54:47.515044	2020-07-24 16:55:16.082083	0.2490946929351618	7.142142073723051	64	3	0.013084085499091624	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									45	Setting status of trial#45 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
46		2020-07-24 16:55:16.082101	2020-07-24 16:56:14.297444	0.8683449747026061	14.510924094660712	64	7	0.018626690496037934	128														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									46	Setting status of trial#46 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
47		2020-07-24 16:56:14.297460	2020-07-24 16:56:34.277247	0.8868522038708451	1.3069699849018845	128	5	0.02361507687739058	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									47	Setting status of trial#47 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
48		2020-07-24 16:56:34.277267	2020-07-24 16:57:25.361080	0.8615816383529762	21.342040998837113	128	4	0.04100085334370582	128														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									48	Setting status of trial#48 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
49		2020-07-24 16:57:25.361098	2020-07-24 16:57:54.976060	0.4632270294832169	9.116830774934687	64	2	0.03759768684837598	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									49	Setting status of trial#49 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
50		2020-07-24 16:57:54.976080	2020-07-24 16:58:14.262395	0.15235144221565883	25.433779952537524	64	4	0.0545778392759632	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									50	Setting status of trial#50 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
51		2020-07-24 16:58:14.262411	2020-07-24 16:58:43.251530	0.34943296318929024	5.216785319546723	64	3	0.0357774928236468	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									51	Setting status of trial#51 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
52		2020-07-24 16:58:43.251546	2020-07-24 16:59:04.019837	0.6031575313495225	9.956689357875115	128	8	0.09238259220847674	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									52	Setting status of trial#52 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
53		2020-07-24 16:59:04.019856	2020-07-24 16:59:23.536909	0.32256675571889803	14.646100942634902	64	7	0.07262631055681301	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									53	Setting status of trial#53 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
54		2020-07-24 16:59:23.536928	2020-07-24 16:59:42.865542	0.6145899253302143	10.968684763591323	64	2	0.07034809148693777	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									54	Setting status of trial#54 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
55		2020-07-24 16:59:42.865559	2020-07-24 17:00:40.145963	0.7594490783098359	25.43940926850448	64	7	0.06268898399056075	128														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									55	Setting status of trial#55 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
56		2020-07-24 17:00:40.145982	2020-07-24 17:01:12.199200	0.8504557244795362	9.478660079960557	64	4	0.09100323586497996	256														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									56	Setting status of trial#56 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
57		2020-07-24 17:01:12.199219	2020-07-24 17:02:02.949777	0.6242096255953323	20.781103992632737	64	6	0.030371588814494456	128														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									57	Setting status of trial#57 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
58		2020-07-24 17:02:02.949796	2020-07-24 17:02:54.389800	0.3848480402155313	23.442843172659042	128	6	0.08663183254173937	128														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									58	Setting status of trial#58 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
59		2020-07-24 17:02:54.389818	2020-07-24 17:03:14.720385	0.9547629056349448	29.1616234867938	128	10	0.07076367614766942	512														CUDA out of memory. Tried to allocate 2.35 GiB (GPU 0; 31.72 GiB total capacity; 26.75 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									59	Setting status of trial#59 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
60		2020-07-24 17:03:14.720401	2020-07-24 17:03:34.215295	0.9085897355577462	22.878992271316307	64	4	0.01012325779984764	512														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									60	Setting status of trial#60 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
61		2020-07-24 17:03:34.215314	2020-07-24 17:04:32.014318	0.4751419256415438	26.03827661704642	64	8	0.048999470030358365	128														CUDA out of memory. Tried to allocate 1.18 GiB (GPU 0; 31.72 GiB total capacity; 26.73 GiB already allocated; 573.88 MiB free; 30.23 GiB reserved in total by PyTorch)									61	Setting status of trial#61 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
